UNITID,XF3A01,F3A01,XF3A01A,F3A01A,XF3A01B,F3A01B,XF3A01C,F3A01C,XF3A02,F3A02,XF3A02A,F3A02A,XF3A03,F3A03,XF3A04,F3A04,XF3A05,F3A05,XF3A06,F3A06,XF3A07,F3A07,XF3A08,F3A08,XF3A09,F3A09,XF3A10,F3A10,XF3A11,F3A11,XF3A12,F3A12,XF3B01,F3B01,XF3B02,F3B02,XF3B03,F3B03,XF3B04,F3B04,XF3B05,F3B05,XF3B06,F3B06,XF3B07,F3B07,XF3B08,F3B08,XF3C01,F3C01,XF3C02,F3C02,XF3C03,F3C03,XF3C03A,F3C03A,XF3C03B,F3C03B,XF3C04,F3C04,XF3C05,F3C05,XF3C06,F3C06,XF3C07,F3C07,XF3C08,F3C08,XF3D01,F3D01,XF3D02,F3D02,XF3D02A,F3D02A,XF3D02B,F3D02B,XF3D03,F3D03,XF3D03A,F3D03A,XF3D03B,F3D03B,XF3D03C,F3D03C,XF3D03D,F3D03D,XF3D04,F3D04,XF3D05,F3D05,XF3D06,F3D06,XF3D07,F3D07,XF3D12,F3D12,XF3D08,F3D08,XF3D09,F3D09,XF3E011,F3E011,XF3E012,F3E012,XF3E02A1,F3E02A1,XF3E02A2,F3E02A2,XF3E02B1,F3E02B1,XF3E02B2,F3E02B2,XF3E03A1,F3E03A1,XF3E03A2,F3E03A2,XF3E03B1,F3E03B1,XF3E03B2,F3E03B2,XF3E03C1,F3E03C1,XF3E03C2,F3E03C2,XF3E041,F3E041,XF3E042,F3E042,XF3E051,F3E051,XF3E101,F3E101,XF3E102,F3E102,XF3E061,F3E061,XF3E062,F3E062,XF3E071,F3E071,XF3E072,F3E072,XF3E073,F3E073,XF3E074,F3E074,XF3E075,F3E075,XF3E076,F3E076,XF3E077,F3E077,XF3F01,F3F01,XF3F02,F3F02,F3F03   
101116,"R",4391044,"R",0,"R",1968736,"R",0,"R",2409357,"R",0,"R",1981687,"R",4391044,"R",0,"R",1550990,"R",739361,"R",0,"R",676,"R",2291027,"R",322291,"R",1968736,"R",6033258,"R",6630046,"R",2578474,"R",1981686,"R",2578474,"R",0,"R",-2578473,"R",1981687,"R",1493490,"R",1030002,"R",34450,"R",34450,"R",0,"R",549812,"R",3107754,"R",1614264,"R",0,"R",1614264,"R",4975711,"R",1030002,"R",0,"R",1030002,"R",34450,"R",0,"R",34450,"R",0,"R",0,"R",0,"R",0,"R",0,"R",-6905,"R",0,"R",0,"R",6033258,"R",2000808,"R",1359723,"R",0,"R",0,"R",0,"R",0,"R",420895,"R",306775,"R",748021,"R",510912,"R",3349182,"R",335536,"R",111140,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",6630046,"R",2512946,"R",450809,"R",964410,"R",322290,"R",0,"R",2379591,"R",0,"R",0, 1
101277,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",341692,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",341692,"Z",0,"Z",0,"Z",0,"R",502962,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",539,"R",117234,"A",,"A",,"R",101355,"R",722090,"R",281241,"R",235723,"R",0,"R",0,"R",0,"R",0,"R",21555,"R",0,"R",45454,"R",34796,"R",386286,"R",50752,"A",,"A",,"R",0,"A",,"A",,"R",0,"R",0,"R",734536,"R",321271,"R",12022,"R",134038,"R",21555,"R",539,"R",245111,"A",,"A",,-2
102845,"R",43330726,"R",0,"R",3379805,"R",4167829,"R",6703289,"R",0,"R",36627437,"R",43330726,"R",0,"R",8897376,"R",7874915,"R",0,"R",0,"R",16772291,"R",13392486,"R",3379805,"R",46544430,"R",50502267,"R",-1037263,"R",-4995100,"R",0,"R",41622537,"R",0,"R",36627437,"R",11497331,"R",615113,"R",1345925,"R",997869,"R",348056,"R",5125444,"R",18583813,"R",5125444,"R",0,"R",5125444,"R",46354402,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",190028,"R",0,"R",0,"R",0,"R",0,"R",46544430,"R",16236761,"R",6713169,"R",0,"R",0,"R",0,"R",0,"R",2135718,"R",1394859,"R",19093548,"R",8565784,"R",10035603,"R",3514862,"R",0,"R",0,"R",0,"R",0,"R",0,"R",3000637,"R",116629,"R",50502267,"R",20305303,"R",4398433,"R",5206714,"R",1481736,"R",0,"R",19110081,"R",0,"R",0, 1
103501,"R",5413217,"R",2239939,"R",2730724,"R",0,"R",2190812,"R",1059742,"R",3222405,"R",5413217,"R",450000,"R",2775507,"R",609340,"R",0,"R",928134,"R",4762981,"R",2032257,"R",2730724,"R",5017829,"R",5202465,"R",0,"R",-184636,"R",0,"R",3391819,"R",15222,"R",3222405,"R",1345036,"R",159175,"R",386317,"R",386317,"R",0,"R",2250,"R",1892778,"R",0,"R",0,"R",0,"R",4868526,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",82337,"R",66966,"R",0,"A",,"R",0,"R",5017829,"R",2161329,"R",868542,"Z",0,"R",0,"Z",0,"R",0,"R",2492315,"R",1065898,"R",233404,"R",160681,"R",315417,"R",35424,"Z",0,"R",0,"Z",0,"A",,"A",,"R",0,"R",0,"R",5202465,"R",2130545,"R",113442,"R",0,"R",0,"R",0,"R",2958478,"A",,"A",,-2
103741,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",595678,"R",7425,"R",19936,"R",19936,"R",0,"R",22975,"R",646014,"R",0,"R",0,"R",0,"R",1252500,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",106578,"A",,"A",,"R",258705,"R",1617783,"R",986533,"R",198668,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",59778,"R",49165,"R",188781,"R",65789,"A",,"A",,"R",0,"A",,"A",,"R",1,"R",0,"R",1235093,"R",313622,"R",66942,"R",365407,"R",18899,"R",0,"R",470223,"A",,"A",,-2
103893,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",2092720,"R",35247,"R",234874,"R",234874,"R",0,"R",37363,"R",2400204,"R",37363,"R",0,"R",37363,"R",6464189,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",536222,"A",,"R",0,"R",7000411,"R",1486604,"R",1382541,"R",0,"R",0,"R",0,"R",0,"R",3538749,"R",1061624,"R",2468895,"R",839424,"R",905261,"R",235368,"R",411482,"R",0,"R",0,"A",,"A",,"R",0,"R",0,"R",8810991,"R",3518957,"R",668602,"R",1069854,"R",164593,"R",0,"R",3388985,"A",,"A",,-2
103909,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1948300,"R",21785,"R",527282,"R",527282,"R",0,"R",77474,"R",2574841,"R",77474,"R",0,"R",77474,"R",8555037,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",536222,"A",,"R",0,"R",9091259,"R",1590437,"R",1479107,"R",0,"R",0,"R",0,"R",0,"R",3785918,"R",1135775,"R",2641338,"R",898055,"R",968490,"R",251807,"R",440223,"R",0,"R",0,"A",,"A",,"R",0,"R",0,"R",9426406,"R",3764744,"R",715301,"R",1144579,"R",176089,"R",0,"R",3625693,"A",,"A",,-2
103927,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1081375,"R",28725,"R",12390,"R",12390,"R",0,"R",41977,"R",1164467,"R",41977,"R",0,"R",41977,"R",3196765,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",536222,"A",,"R",0,"R",3732987,"R",400218,"R",279624,"R",0,"R",0,"R",0,"R",0,"R",1562108,"R",466428,"R",1276443,"R",379102,"R",374726,"R",117285,"R",196673,"R",0,"R",0,"A",,"A",,"R",0,"R",0,"R",3810168,"R",1242439,"R",198756,"R",585699,"R",188457,"R",0,"R",1594817,"A",,"A",,-2
103954,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",235332,"R",20946,"R",6737,"R",0,"R",6737,"R",3000,"R",266015,"R",0,"R",0,"R",0,"R",611578,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",64687,"A",,"A",,"R",0,"R",676265,"R",79732,"R",79732,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",38165,"R",38165,"R",299177,"R",144375,"A",,"A",,"R",0,"A",,"A",,"R",0,"R",0,"R",417074,"R",262272,"R",0,"R",0,"R",0,"R",0,"R",154802,"A",,"A",,-2
103963,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",2834086,"R",69610,"R",0,"R",0,"R",0,"R",0,"R",2903696,"R",0,"R",0,"R",0,"R",12899587,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"A",,"R",19250,"R",12918837,"R",4061573,"R",2074807,"R",0,"R",0,"R",0,"R",0,"R",870671,"R",641991,"R",769958,"R",516372,"R",624246,"R",421803,"A",,"A",,"R",0,"A",,"A",,"R",2577118,"R",0,"R",8903566,"R",3654973,"R",752039,"R",768403,"R",41056,"R",0,"R",3687095,"A",,"A",,-2
104090,"R",13922188,"R",0,"R",3265781,"R",1500496,"R",8751563,"R",686295,"R",5170625,"R",13922188,"R",0,"R",5428310,"R",3212997,"R",0,"R",3150057,"R",11791364,"R",8525583,"R",3265781,"R",30044544,"R",30399501,"R",-4691,"R",-359648,"R",450000,"R",5080273,"R",0,"R",5170625,"R",8322165,"R",160290,"R",0,"R",0,"R",0,"R",567383,"R",9049838,"R",0,"R",0,"R",0,"R",30044544,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",30044544,"R",10791000,"R",7083441,"Z",0,"Z",0,"Z",0,"Z",0,"R",6973522,"R",2761551,"R",163221,"R",101567,"R",12471647,"R",189599,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",111,"R",0,"R",30399501,"R",10136158,"R",810002,"R",3902805,"R",827010,"R",96613,"R",14626913,"A",,"A",,-2
104188,"R",2949519,"R",454218,"R",454461,"R",0,"R",572812,"R",0,"R",2376707,"R",2949519,"R",1,"R",1,"R",2524259,"R",0,"R",33030,"R",2557291,"R",2102830,"R",454461,"R",4101901,"R",5022631,"R",0,"R",-920730,"R",39035,"R",3599838,"R",-341436,"R",2376707,"R",527674,"R",20510,"R",0,"R",0,"R",0,"R",0,"R",548184,"R",0,"R",0,"R",0,"R",4101901,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",4101901,"R",999000,"R",472277,"R",0,"R",0,"R",0,"R",0,"R",761532,"R",378812,"R",446502,"R",306309,"R",118321,"R",72503,"R",0,"R",0,"R",0,"R",0,"R",0,"R",2697276,"R",0,"R",5022631,"R",1229901,"R",0,"R",48439,"R",0,"R",0,"R",3744291,"A",,"A",,-2
104391,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",221858,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",221858,"Z",0,"Z",0,"Z",0,"R",519606,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",51296,"A",,"A",,"R",0,"R",570902,"R",238597,"R",238597,"Z",0,"Z",0,"Z",0,"Z",0,"R",71299,"R",16219,"R",36511,"R",34219,"R",86040,"R",34456,"A",,"A",,"Z",0,"A",,"A",,"R",245252,"R",0,"R",677699,"R",323491,"R",0,"R",451,"R",59181,"R",0,"R",294576,"A",,"A",,-2
104434,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",202583,"R",3375,"R",42599,"R",42599,"R",0,"R",13351,"R",261908,"R",0,"R",0,"R",0,"R",527401,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",74443,"A",,"A",,"R",105328,"R",707172,"R",356348,"R",95728,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",37622,"R",30503,"R",104837,"R",61154,"A",,"A",,"R",0,"A",,"A",,"R",1,"R",0,"R",498808,"R",187385,"R",43734,"R",112966,"R",3950,"R",0,"R",150773,"A",,"A",,-2
104443,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",354544,"R",4725,"R",12529,"R",12529,"R",0,"R",14575,"R",386373,"R",0,"R",0,"R",0,"R",703598,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",79438,"A",,"A",,"R",158011,"R",941047,"R",583805,"R",110236,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",59114,"R",47256,"R",214498,"R",70784,"A",,"A",,"R",0,"A",,"A",,"R",0,"R",0,"R",857417,"R",228276,"R",57281,"R",203457,"R",7854,"R",0,"R",360549,"A",,"A",,-2
104504,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",219131,"R",4000,"Z",0,"Z",0,"Z",0,"Z",0,"R",223131,"Z",0,"Z",0,"Z",0,"R",840307,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",7835,"R",106182,"A",,"A",,"R",0,"R",954324,"R",265784,"R",158988,"Z",0,"Z",0,"Z",0,"Z",0,"R",50291,"R",43800,"R",379701,"R",167970,"R",650012,"R",191461,"A",,"A",,"Z",0,"A",,"A",,"R",27072,"R",0,"R",1372860,"R",562219,"R",81352,"R",209040,"R",9523,"R",0,"R",510726,"A",,"A",,-2
104568,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1093186,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1093186,"R",0,"R",0,"R",0,"R",3516924,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",401727,"A",,"A",,"R",1666,"R",3920317,"R",1997754,"R",617528,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",654493,"R",175973,"R",800272,"R",336195,"A",,"A",,"Z",0,"A",,"A",,"R",0,"R",0,"R",3452519,"R",1129696,"R",150793,"R",50199,"R",117848,"R",0,"R",2003983,"A",,"A",,-2
104717,"R",1303573811,"R",0,"R",922283597,"R",2940717,"R",317622938,"R",0,"R",985950873,"R",1303573811,"R",185755812,"R",595383763,"R",179946601,"R",32060058,"R",161076674,"R",1154222908,"R",231939311,"R",922283597,"R",974133854,"R",772980957,"R",2166131,"R",203319028,"R",20110760,"R",773685771,"R",-11164686,"R",985950873,"R",127353734,"R",10685209,"R",147041,"R",147041,"R",0,"R",196333856,"R",334519840,"R",196333856,"R",0,"R",196333856,"R",842386434,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",118235360,"R",13512060,"Z",0,"R",0,"R",974133854,"R",155232171,"R",97466807,"R",0,"R",0,"R",2761116,"R",1914972,"R",93987388,"R",26088625,"R",232445413,"R",150732797,"R",249367782,"R",34902339,"R",39187087,"R",8168788,"R",0,"R",0,"R",0,"R",0,"R",0,"R",772980957,"R",319274328,"R",47423279,"R",36880416,"R",53934420,"R",2169018,"R",313299496,"R",70777318,"R",9431072, 3
105215,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",3490000,"R",4646000,"R",0,"R",0,"R",0,"R",0,"R",8136000,"R",956000,"R",0,"R",956000,"R",13804000,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",33000,"R",724000,"A",,"A",,"R",1019000,"R",15580000,"R",5384000,"R",3228000,"R",0,"R",0,"R",0,"R",0,"R",3735000,"R",302000,"R",7879000,"R",3354000,"R",3407000,"R",386000,"A",,"A",,"R",0,"A",,"A",,"R",219000,"R",0,"R",20624000,"R",7270000,"R",1523000,"R",1736000,"R",1391000,"R",220000,"R",8484000,"A",,"A",,-2
105482,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",176686,"R",4921,"Z",0,"Z",0,"Z",0,"Z",0,"R",181607,"Z",0,"Z",0,"Z",0,"R",1039083,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",10146,"R",186558,"A",,"A",,"R",1,"R",1235788,"R",221563,"R",117966,"Z",0,"Z",0,"Z",0,"Z",0,"R",162416,"R",138980,"R",410928,"R",181985,"R",650038,"R",225468,"A",,"A",,"Z",0,"A",,"A",,"R",35057,"R",0,"R",1480002,"R",664399,"R",97032,"R",151079,"R",23457,"R",0,"R",544035,"A",,"A",,-2
105534,"R",14240391,"Z",0,"R",852722,"Z",0,"R",2513987,"Z",0,"R",11726404,"R",14240391,"R",510000,"R",1825668,"R",2729867,"Z",0,"Z",0,"R",5065535,"R",4212813,"R",852722,"R",28056104,"R",20011157,"R",0,"R",8044947,"R",-8760375,"R",12441832,"R",0,"R",11726404,"R",4998395,"R",94450,"R",15293,"R",15293,"Z",0,"R",403701,"R",5511839,"Z",0,"Z",0,"Z",0,"R",22333931,"Z",0,"Z",0,"Z",0,"R",15293,"Z",0,"R",15293,"Z",0,"Z",0,"R",403701,"R",210334,"Z",0,"Z",0,"Z",0,"R",5092845,"R",28056104,"R",8422515,"R",4131600,"Z",0,"Z",0,"Z",0,"Z",0,"R",454916,"R",413160,"R",4459575,"R",2425198,"R",6270450,"R",1503164,"Z",0,"Z",0,"R",403701,"Z",0,"Z",0,"R",0,"R",0,"R",20011157,"R",8473122,"R",3022269,"R",1327415,"R",283682,"Z",0,"R",6904669,"A",,"A",,-2
105543,"R",8300313,"Z",0,"R",907568,"Z",0,"R",4685947,"Z",0,"R",3614366,"R",8300313,"Z",0,"R",2702814,"R",1756024,"Z",0,"Z",0,"R",4458838,"R",3551270,"R",907568,"R",11751173,"R",11576416,"R",0,"R",174757,"R",-805317,"R",4244925,"R",1,"R",3614366,"R",2616528,"R",63386,"Z",0,"Z",0,"Z",0,"R",58566,"R",2738480,"Z",0,"Z",0,"Z",0,"R",8807324,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",58566,"R",71761,"R",133608,"Z",0,"A",,"R",2679914,"R",11751173,"R",5471544,"R",3260077,"Z",0,"Z",0,"Z",0,"Z",0,"R",347193,"R",326008,"R",2502471,"R",1032557,"R",3196642,"R",646282,"Z",0,"Z",0,"R",58566,"A",,"A",,"R",0,"R",0,"R",11576416,"R",5264924,"R",1351029,"R",1226141,"R",495875,"Z",0,"R",3238447,"A",,"A",,-2
105659,"R",17039340,"R",0,"R",1127300,"R",13763616,"R",3269389,"R",180268,"R",13769951,"R",17039340,"R",1351584,"R",0,"R",576785,"R",0,"R",252972,"R",2181341,"R",1054041,"R",1127300,"R",13554915,"R",9938546,"R",0,"R",3616369,"R",2907094,"R",25101281,"R",-17854793,"R",13769951,"R",3268541,"R",34469,"R",2571817,"R",2151491,"R",420326,"R",534665,"R",6409492,"R",534665,"R",0,"R",534665,"R",9707154,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",44555,"R",0,"A",,"R",3803206,"R",13554915,"R",1665682,"R",1327018,"R",0,"R",0,"R",0,"R",0,"R",1171838,"R",0,"R",789394,"R",524537,"R",3459852,"R",880126,"R",0,"R",0,"R",0,"A",,"A",,"R",2851780,"R",66501,"R",9938546,"R",2798182,"R",541499,"R",674009,"R",230975,"R",9851,"R",5684030,"R",26268,"R",154294, 1
105677,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",84063,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",84063,"Z",0,"Z",0,"Z",0,"R",511342,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",122683,"A",,"A",,"R",0,"R",634025,"R",581060,"R",309148,"Z",0,"Z",0,"Z",0,"Z",0,"R",140000,"R",140000,"R",30000,"Z",0,"R",15000,"Z",0,"A",,"A",,"Z",0,"A",,"A",,"R",0,"R",0,"R",766060,"R",449148,"Z",0,"Z",0,"R",6678,"R",3816,"R",306418,"A",,"A",,-2
106041,"R",111710000,"R",0,"R",7071000,"R",0,"R",45298000,"R",0,"R",66412000,"R",111710000,"R",0,"R",8530000,"R",59472000,"R",319000,"R",0,"R",68321000,"R",61250000,"R",7071000,"R",40058000,"R",35071000,"R",0,"R",4987000,"R",-44282000,"R",105706000,"R",1000,"R",66412000,"R",6183000,"R",7631000,"R",0,"R",0,"R",0,"R",0,"R",13814000,"R",1796000,"R",0,"R",1796000,"R",35801000,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1783000,"R",678000,"Z",0,"A",,"R",1796000,"R",40058000,"R",8635000,"R",5002000,"R",0,"R",0,"R",0,"R",0,"R",5651000,"R",195000,"R",13245000,"R",5912000,"R",7359000,"R",550000,"R",0,"R",0,"R",0,"A",,"A",,"R",181000,"R",0,"R",35071000,"R",11659000,"R",2443000,"R",4204000,"R",1160000,"R",0,"R",15605000,"R",0,"R",0, 3
106111,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",663833,"R",6075,"R",62533,"R",62533,"R",0,"R",22025,"R",754466,"R",0,"R",0,"R",0,"R",1153397,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",96137,"A",,"A",,"R",274712,"R",1524246,"R",1144034,"R",190654,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",115404,"R",91833,"R",243371,"R",60000,"A",,"A",,"R",0,"A",,"A",,"R",0,"R",0,"R",1502809,"R",342487,"R",87910,"R",566205,"R",7366,"R",0,"R",498841,"A",,"A",,-2
106315,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",469111,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",469111,"Z",0,"Z",0,"Z",0,"R",469111,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",171655,"A",,"A",,"R",181008,"R",821774,"R",129632,"R",106875,"Z",0,"Z",0,"Z",0,"Z",0,"R",19007,"R",19007,"R",17800,"R",8599,"R",68744,"R",39541,"A",,"A",,"Z",0,"A",,"A",,"R",12178,"R",4980,"R",247361,"R",179002,"R",22015,"R",6079,"Z",0,"Z",0,"R",40265,"A",,"A",,-2
106324,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",107229,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",107229,"Z",0,"Z",0,"Z",0,"R",347917,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",35154,"A",,"A",,"R",0,"R",383071,"R",112742,"R",66304,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",0,"R",0,"R",0,"R",116496,"R",22326,"A",,"A",,"Z",0,"A",,"A",,"R",0,"R",0,"R",229238,"R",88630,"R",14685,"R",34231,"R",13135,"R",2067,"R",76490,"A",,"A",,-2
106351,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",599903,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",599903,"Z",0,"Z",0,"Z",0,"R",1369221,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",408,"R",176320,"A",,"A",,"R",0,"R",1545949,"R",411000,"R",397210,"R",0,"Z",0,"R",0,"Z",0,"R",11022,"R",9877,"R",39025,"R",18933,"R",78055,"R",71235,"A",,"A",,"Z",0,"A",,"A",,"R",157120,"R",108968,"R",696222,"R",606223,"R",38899,"R",17045,"Z",0,"Z",0,"R",34055,"A",,"A",,-2
106360,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",156956,"R",0,"R",274,"R",274,"R",0,"R",0,"R",157230,"R",0,"R",0,"R",0,"R",321066,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",4623,"A",,"A",,"R",0,"R",325689,"R",191443,"R",111327,"R",0,"R",0,"R",0,"R",0,"R",7038,"R",0,"R",0,"R",0,"R",124346,"R",0,"A",,"A",,"R",0,"A",,"A",,"R",0,"R",0,"R",322827,"R",111327,"R",1812,"R",29024,"R",7722,"R",538,"R",172404,"A",,"A",,-2
